City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
180,Dingle,PH,10.9995,122.6711,75.24,94,86,7.74,overcast clouds
181,Hambantota,LK,6.1241,81.1185,79.77,79,100,13.67,overcast clouds
182,Wasilla,US,61.5814,-149.4394,-0.53,72,1,3.44,clear sky
183,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,74,73,18.77,broken clouds
184,Phan Thiet,VN,10.9333,108.1,73.89,88,38,6.2,scattered clouds
185,Orocue,CO,4.7912,-71.3354,93.0,38,18,14.94,few clouds
186,Saint-Philippe,RE,-21.3585,55.7679,78.39,81,91,14.34,light rain
187,Kitgum,UG,3.2783,32.8867,81.61,26,100,12.17,overcast clouds
188,Mar Del Plata,AR,-38.0023,-57.5575,69.82,95,75,11.99,broken clouds
189,Port Hardy,CA,50.6996,-127.4199,39.2,100,90,3.44,snow
190,Nago,JP,26.5881,127.9761,69.87,64,97,14.83,overcast clouds
191,Bocas Del Toro,PA,9.3333,-82.25,86.07,67,30,7.07,scattered clouds
192,Barrow,US,71.2906,-156.7887,-9.38,70,1,14.97,clear sky
193,Luanda,AO,-8.8368,13.2343,84.2,74,75,11.5,broken clouds
194,Belmonte,BR,-15.8631,-38.8828,84.2,60,57,10.31,broken clouds
195,Cabedelo,BR,-6.9811,-34.8339,90.27,64,5,13.15,clear sky
196,Mabaruma,GY,8.2,-59.7833,73.96,99,100,3.22,overcast clouds
197,Victoria,HK,22.2855,114.1577,69.33,66,10,8.99,clear sky
198,Utraula,IN,27.3167,82.4167,60.03,56,40,3.31,scattered clouds
199,San Isidro,PE,-12.1167,-77.05,72.99,64,0,12.66,clear sky
200,Ketchikan,US,55.3422,-131.6461,34.27,75,90,14.97,light rain
201,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,23.02,scattered clouds
202,Exeter,GB,50.7236,-3.5275,55.85,84,75,1.01,broken clouds
203,Klaksvik,FO,62.2266,-6.589,43.72,73,100,18.79,overcast clouds
204,Cabo San Lucas,MX,22.8909,-109.9124,76.51,72,40,3.44,scattered clouds
205,Qaanaaq,GL,77.484,-69.3632,-1.17,67,94,2.15,overcast clouds
206,Bonavista,CA,48.6499,-53.1147,50.0,92,100,32.28,light rain
207,Necochea,AR,-38.5473,-58.7368,73.04,44,100,11.92,light rain
208,Paeroa,NZ,-37.3667,175.6667,64.29,99,100,3.83,light rain
209,Aras,ES,42.5617,-2.356,50.72,80,80,1.68,broken clouds
210,Lashio,MM,22.9333,97.75,59.81,91,24,1.92,few clouds
211,Ribeira Grande,PT,38.5167,-28.7,59.4,58,40,16.11,scattered clouds
212,Maceio,BR,-9.6658,-35.7353,89.04,55,40,17.27,scattered clouds
213,Kaitangata,NZ,-46.2817,169.8464,44.22,95,88,3.11,overcast clouds
214,Cherskiy,RU,68.75,161.3,-42.77,100,48,2.24,scattered clouds
215,Porto Walter,BR,-8.2686,-72.7439,84.13,76,66,6.6,broken clouds
