City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
57,Buin,CL,2021-12-10 16:15:48,-33.7333,-70.75,79.05,34,0,10.16
58,Sur,OM,2021-12-10 16:15:48,22.5667,59.5289,73.44,54,0,6.73
59,Santa Ines,BR,2021-12-10 16:15:48,-3.6667,-45.38,92.43,48,81,5.14
60,Karratha,AU,2021-12-10 16:15:49,-20.7377,116.8463,84.0,66,33,13.06
61,Colon,PA,2021-12-10 16:14:54,9.3592,-79.9014,91.24,67,5,13.0
62,Tamiahua,MX,2021-12-10 16:15:49,21.2667,-97.45,78.62,78,31,9.69
63,Arrecife,ES,2021-12-10 16:15:49,28.963,-13.5477,68.07,73,20,21.85
64,Tursunzoda,TJ,2021-12-10 16:15:50,38.5144,68.2333,45.48,10,23,5.28
65,Chokurdakh,RU,2021-12-10 16:15:50,70.6333,147.9167,-47.22,100,68,3.67
66,East London,ZA,2021-12-10 16:15:50,-33.0153,27.9116,77.94,78,0,13.8
67,Hofn,IS,2021-12-10 16:15:51,64.2539,-15.2082,32.02,74,0,5.75
68,Kisangani,CD,2021-12-10 16:15:51,0.5167,25.2,80.83,71,100,0.47
69,Ayotzintepec,MX,2021-12-10 16:15:51,17.6667,-96.1333,83.25,48,9,2.3
70,Kapaa,US,2021-12-10 16:15:52,22.0752,-159.319,75.11,80,90,1.01
71,New Norfolk,AU,2021-12-10 16:15:52,-42.7826,147.0587,50.67,73,47,2.1
72,Pakokku,MM,2021-12-10 16:15:52,21.3333,95.1,76.59,65,0,2.89
73,Kalabo,ZM,2021-12-10 16:15:53,-14.97,22.6814,88.25,29,83,1.81
74,Lompoc,US,2021-12-10 16:11:23,34.6391,-120.4579,51.57,77,1,5.75
75,Nikolskoye,RU,2021-12-10 16:15:53,59.7035,30.7861,8.49,81,86,10.16
76,Srednekolymsk,RU,2021-12-10 16:15:53,67.45,153.6833,-49.25,100,74,2.93
77,Berkak,NO,2021-12-10 16:15:54,62.825,10.0118,19.44,85,54,8.88
78,Constitucion,CL,2021-12-10 16:15:54,-35.3333,-72.4167,64.49,74,49,12.62
79,Bonavista,CA,2021-12-10 16:11:20,48.6499,-53.1147,28.9,72,96,22.77
80,Kharp,RU,2021-12-10 16:15:54,66.8014,65.8081,8.37,88,100,8.79
81,Galesong,ID,2021-12-10 16:15:55,-5.3166,119.3661,77.02,79,100,4.65
82,Monkey Bay,MW,2021-12-10 16:15:55,-14.0728,34.9201,82.47,69,78,15.1
83,Qaanaaq,GL,2021-12-10 16:15:18,77.484,-69.3632,0.34,75,97,6.46
84,Segovia,ES,2021-12-10 16:15:55,41.1667,-4.0,55.04,76,72,21.41
85,Waddan,LY,2021-12-10 16:15:56,29.1614,16.139,55.4,38,0,2.53
86,Nanortalik,GL,2021-12-10 16:15:56,60.1432,-45.2371,27.93,74,100,7.92
87,Kruisfontein,ZA,2021-12-10 16:15:56,-34.0033,24.7314,73.04,77,37,9.53
88,Bandarbeyla,SO,2021-12-10 16:15:57,9.4942,50.8122,77.14,69,12,20.94
89,Avera,US,2021-12-10 16:15:57,33.194,-82.5271,53.26,92,100,4.54
90,Hermanus,ZA,2021-12-10 16:15:57,-34.4187,19.2345,72.9,82,61,9.62
91,Saldanha,ZA,2021-12-10 16:15:58,-33.0117,17.9442,64.76,89,57,13.51
92,Beira,MZ,2021-12-10 16:15:58,-19.8436,34.8389,82.49,78,20,14.97
93,Butaritari,KI,2021-12-10 16:16:59,3.0707,172.7902,81.57,78,97,11.01
94,Tasiilaq,GL,2021-12-10 16:16:59,65.6145,-37.6368,32.16,94,100,19.8
95,Ambovombe,MG,2021-12-10 16:16:59,-25.1667,46.0833,78.71,74,97,19.77
96,Khunti,IN,2021-12-10 16:17:00,23.0833,85.2833,69.91,56,100,5.14
97,Torbay,CA,2021-12-10 16:15:17,47.6666,-52.7314,27.68,83,84,11.01
98,Bulaevo,KZ,2021-12-10 16:17:00,54.9056,70.4439,15.67,76,98,10.47
99,Alofi,NU,2021-12-10 16:17:00,-19.0595,-169.9187,71.49,88,100,5.75
100,Rio Pardo,BR,2021-12-10 16:17:01,-29.9897,-52.3781,84.43,28,25,6.87
101,San Luis,AR,2021-12-10 16:17:01,-33.295,-66.3356,60.49,100,90,5.75
102,Husavik,IS,2021-12-10 16:17:01,66.0449,-17.3389,22.91,87,73,10.09
103,High Level,CA,2021-12-10 16:17:02,58.5169,-117.136,-16.49,83,90,0.0
104,Camacha,PT,2021-12-10 16:17:02,33.0833,-16.3333,66.52,82,40,12.66
105,Cape Town,ZA,2021-12-10 16:12:40,-33.9258,18.4232,76.08,54,37,1.99
106,Port Elizabeth,ZA,2021-12-10 16:15:13,-33.918,25.5701,77.29,69,0,13.8
107,Zalantun,CN,2021-12-10 16:17:03,48.0,122.7167,20.57,70,99,2.06
108,Coos Bay,US,2021-12-10 16:14:59,43.3665,-124.2179,43.93,97,90,8.05
